UniProtKB_ac	n_resid	mean_pLDDT	has_catalytic_activity	has_EC	has_activity	autosite_score	autosite_score_50	autosite_score_70	autosite_score_90	autosite_score_95
P86434	159	33.69	False	False	False	48.17	0.00	0.00	0.00	0.00
P86452	979	64.92	False	False	False	84.67	84.67	84.67	32.46	27.13
P86478	221	51.60	False	False	False	44.06	44.06	0.00	0.00	0.00
P86479	221	48.69	False	False	False	43.57	25.52	0.00	0.00	0.00
P86480	221	48.41	False	False	False	79.22	48.18	0.00	0.00	0.00
P86481	221	48.50	False	False	False	67.73	35.25	21.65	0.00	0.00
P86496	221	52.87	False	False	False	58.01	58.01	58.01	0.00	0.00
P98095	1184	67.15	False	False	False	45.62	45.62	45.62	45.62	0.00
Q00587	391	53.99	False	False	False	58.80	58.80	21.12	0.00	0.00
Q00765	189	79.58	False	False	False	69.92	69.92	69.92	0.00	0.00
Q00887	426	87.11	False	False	False	42.28	42.28	42.28	37.47	29.44
Q00973	533	88.43	CATALYTIC ACTIVITY: Reaction=ganglioside GM3 (d18:1(4E)) + UDP-N-acetyl-alpha-D-   galactosamine = ganglioside GM2 (d18:1(4E)) + H(+) + UDP;   Xref=Rhea:RHEA:12588, ChEBI:CHEBI:15378, ChEBI:CHEBI:58223,   ChEBI:CHEBI:60065, ChEBI:CHEBI:67138, ChEBI:CHEBI:71502; EC=2.4.1.92;   Evidence={ECO:0000269|PubMed:1601877, ECO:0000269|PubMed:7890749}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:12589;   Evidence={ECO:0000269|PubMed:1601877, ECO:0000269|PubMed:7890749};	RecName: Full=Beta-1,4 N-acetylgalactosaminyltransferase 1 {ECO:0000305}; EC=2.4.1.92 {ECO:0000269|PubMed:1601877, ECO:0000269|PubMed:7487055, ECO:0000269|PubMed:7890749}; AltName: Full=(N-acetylneuraminyl)-galactosylglucosylceramide; AltName: Full=GM2/GD2 synthase; AltName: Full=GalNAc-T;	True	81.87	81.87	81.87	42.32	30.31
Q00LT1	54	63.77	False	False	False	22.77	0.00	0.00	0.00	0.00
Q01362	244	75.25	False	False	False	45.41	45.41	45.41	22.18	0.00
Q01628	133	59.48	False	False	False	37.07	37.07	37.07	0.00	0.00
Q01954	994	54.38	False	False	False	41.97	41.97	40.69	28.42	0.00
Q02040	695	69.34	False	False	False	77.14	77.14	77.14	34.26	28.26
Q02383	582	31.32	False	False	False	57.13	30.79	0.00	0.00	0.00
Q03135	178	78.20	False	False	False	31.58	31.58	22.52	20.90	0.00
Q03395	351	86.59	False	False	False	38.30	38.30	38.30	38.30	24.75
Q03701	1054	67.33	False	False	False	97.32	97.32	72.81	29.13	0.00
Q04118	309	50.13	False	False	False	19.91	19.91	0.00	0.00	0.00
Q04671	838	74.16	False	False	False	52.76	52.76	52.76	52.76	0.00
Q04900	197	66.54	False	False	False	37.54	37.54	37.54	0.00	0.00
Q04941	152	77.34	False	False	False	45.42	45.42	45.42	0.00	0.00
Q05084	483	69.54	False	False	False	64.53	64.53	64.53	29.16	29.16
Q05469	1076	64.10	CATALYTIC ACTIVITY: Reaction=a diacylglycerol + H2O = a fatty acid + a monoacylglycerol +   H(+); Xref=Rhea:RHEA:32731, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378,   ChEBI:CHEBI:17408, ChEBI:CHEBI:18035, ChEBI:CHEBI:28868; EC=3.1.1.79;   Evidence={ECO:0000269|PubMed:19800417, ECO:0000269|PubMed:8812477};	RecName: Full=Hormone-sensitive lipase; Short=HSL; EC=3.1.1.79 {ECO:0000269|PubMed:15955102, ECO:0000269|PubMed:19800417, ECO:0000269|PubMed:8812477}; AltName: Full=Monoacylglycerol lipase LIPE; EC=3.1.1.23 {ECO:0000250|UniProtKB:P54310}; AltName: Full=Retinyl ester hydrolase {ECO:0000303|PubMed:15955102}; Short=REH;	True	96.89	96.89	65.06	37.57	29.57
Q05682	793	64.40	False	False	False	43.04	43.04	43.04	43.04	0.00
Q05952	138	58.67	False	False	False	34.76	34.76	0.00	0.00	0.00
Q05BU3	40	66.82	False	False	False	0.00	0.00	0.00	0.00	0.00
Q05DH4	1040	64.32	False	False	False	93.58	93.58	75.73	32.62	25.03
Q06250	92	60.62	False	False	False	28.31	28.31	0.00	0.00	0.00
Q06495	639	72.30	False	False	False	74.97	74.97	74.97	34.23	0.00
Q07092	1604	49.21	False	False	False	107.05	107.05	33.84	33.84	0.00
Q07325	125	87.88	False	False	False	30.17	30.17	30.17	30.17	30.17
Q07326	219	92.88	False	False	False	54.64	54.64	54.64	54.64	42.42
Q07507	201	85.35	False	False	False	41.95	41.95	41.95	37.07	37.07
Q07627	177	39.31	False	False	False	40.35	23.85	0.00	0.00	0.00
Q08648	103	64.06	False	False	False	30.79	30.79	0.00	0.00	0.00
Q08AM6	782	83.83	False	False	False	77.09	77.09	77.09	52.07	36.98
Q08E93	113	67.42	False	False	False	27.61	27.61	27.61	0.00	0.00
Q09327	533	79.42	CATALYTIC ACTIVITY: Reaction=N(4)-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-   (1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-   beta-D-GlcNAc}-L-asparaginyl-[protein] + UDP-N-acetyl-alpha-D-   glucosamine = H(+) + N(4)-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-   [beta-D-GlcNAc-(1->4)]-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-   beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-L-asparaginyl-   [protein] + UDP; Xref=Rhea:RHEA:15509, Rhea:RHEA-COMP:13526,   Rhea:RHEA-COMP:14371, ChEBI:CHEBI:15378, ChEBI:CHEBI:57705,   ChEBI:CHEBI:58223, ChEBI:CHEBI:60651, ChEBI:CHEBI:139504;   EC=2.4.1.144; Evidence={ECO:0000305|PubMed:19403558};	RecName: Full=Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase {ECO:0000305}; EC=2.4.1.144 {ECO:0000305|PubMed:19403558}; AltName: Full=N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III; Short=GNT-III; Short=GlcNAc-T III; Short=N-acetylglucosaminyltransferase III;	True	58.37	58.37	58.37	58.37	33.57
Q09MP3	1159	33.95	False	False	False	67.45	66.25	0.00	0.00	0.00
Q0D2K0	466	72.39	False	False	False	67.10	67.10	67.10	67.10	34.92
Q0D2K3	151	59.77	False	False	False	29.28	29.28	29.07	0.00	0.00
Q0D2K5	195	74.41	False	False	False	40.64	40.64	40.64	33.58	33.58
Q0IIN9	211	31.35	False	False	False	56.72	31.35	0.00	0.00	0.00
Q0P140	79	49.69	False	False	False	46.89	46.89	0.00	0.00	0.00
Q0P5P2	90	76.51	False	False	False	27.51	27.51	22.27	0.00	0.00
Q0P641	193	52.46	False	False	False	50.81	50.81	0.00	0.00	0.00
Q0P651	414	80.51	False	False	False	97.57	97.57	97.57	34.08	34.08
Q0P670	501	50.85	False	False	False	61.47	61.47	33.67	0.00	0.00
Q0P6D2	419	85.81	False	False	False	46.04	46.04	46.04	46.04	31.26
Q0P6H9	643	91.49	False	False	False	82.70	82.70	82.70	53.13	53.13
Q0VAA5	305	80.43	False	False	False	50.90	50.90	50.90	41.32	30.81
Q0VD83	1097	41.21	False	False	False	23.32	0.00	0.00	0.00	0.00
Q0VD86	236	59.47	False	False	False	27.22	27.22	23.38	0.00	0.00
Q0VDD5	57	60.62	False	False	False	26.65	26.65	24.90	0.00	0.00
Q0VDD7	668	46.12	False	False	False	43.40	43.40	43.40	0.00	0.00
Q0VDI3	215	89.67	False	False	False	54.90	54.90	54.90	49.26	49.26
Q0VFX4	171	30.02	False	False	False	80.29	0.00	0.00	0.00	0.00
Q0VG73	95	47.13	False	False	False	51.45	22.34	0.00	0.00	0.00
Q0ZLH3	352	69.01	False	False	False	89.37	89.37	49.46	26.52	24.16
Q10571	1320	42.77	False	False	False	50.31	32.81	32.81	0.00	0.00
Q107X0	134	44.58	False	False	False	37.14	0.00	0.00	0.00	0.00
Q11130	342	92.50	CATALYTIC ACTIVITY: Reaction=an N-acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->4)-   N-acetyl-beta-D-glucosaminyl derivative + GDP-beta-L-fucose = an   alpha-Neu5Ac-(2->3)-beta-D-Gal-(1->4)-[alpha-L-Fuc-(1->3)]-beta-D-   GlcNAc derivative + GDP + H(+); Xref=Rhea:RHEA:56076,   ChEBI:CHEBI:15378, ChEBI:CHEBI:57273, ChEBI:CHEBI:58189,   ChEBI:CHEBI:136545, ChEBI:CHEBI:139509;   Evidence={ECO:0000269|PubMed:11404359, ECO:0000269|PubMed:15632313,   ECO:0000269|PubMed:15926890, ECO:0000269|PubMed:8207002,   ECO:0000269|PubMed:8666674, ECO:0000269|PubMed:8752218,   ECO:0000269|PubMed:9299472, ECO:0000269|PubMed:9461592,   ECO:0000269|PubMed:9499379}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:56077;   Evidence={ECO:0000305|PubMed:9499379};	RecName: Full=Alpha-(1,3)-fucosyltransferase 7 {ECO:0000305}; EC=2.4.1.- {ECO:0000269|PubMed:11404359, ECO:0000269|PubMed:15632313, ECO:0000269|PubMed:15926890, ECO:0000269|PubMed:8207002, ECO:0000269|PubMed:8666674, ECO:0000269|PubMed:8752218, ECO:0000269|PubMed:9299472, ECO:0000269|PubMed:9499379}; AltName: Full=Fucosyltransferase 7; AltName: Full=Fucosyltransferase VII {ECO:0000303|PubMed:8207002}; Short=Fuc-TVII {ECO:0000303|PubMed:8207002}; Short=FucT-VII; AltName: Full=Galactoside 3-L-fucosyltransferase; AltName: Full=Selectin ligand synthase;	True	42.66	42.66	42.66	42.66	42.66
Q12767	1356	73.62	False	False	False	120.54	120.54	120.54	33.20	0.00
Q12789	2109	65.32	False	False	False	117.03	117.03	96.11	0.00	0.00
Q12805	493	76.08	False	False	False	66.17	66.17	66.17	49.17	0.00
Q12816	1431	49.75	False	False	False	89.02	89.02	89.02	25.36	0.00
Q12857	509	62.80	False	False	False	84.41	84.41	84.41	32.09	32.09
Q12893	351	78.51	False	False	False	71.45	71.45	71.45	46.62	0.00
Q12946	379	57.94	False	False	False	55.35	55.35	55.35	30.02	25.90
Q12982	314	71.54	False	False	False	83.45	83.45	83.45	83.45	0.00
Q13021	153	89.84	False	False	False	45.66	45.66	45.66	34.76	34.76
Q13023	2319	42.14	False	False	False	56.39	56.02	49.57	0.00	0.00
Q13057	564	89.60	CATALYTIC ACTIVITY: Reaction=ATP + D-pantetheine 4'-phosphate + H(+) = 3'-dephospho-CoA +   diphosphate; Xref=Rhea:RHEA:19801, ChEBI:CHEBI:15378,   ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57328,   ChEBI:CHEBI:61723; EC=2.7.7.3;	RecName: Full=Bifunctional coenzyme A synthase; Short=CoA synthase; AltName: Full=NBP; AltName: Full=POV-2; Includes: RecName: Full=Phosphopantetheine adenylyltransferase; EC=2.7.7.3; AltName: Full=Dephospho-CoA pyrophosphorylase; AltName: Full=Pantetheine-phosphate adenylyltransferase; Short=PPAT; Includes: RecName: Full=Dephospho-CoA kinase; Short=DPCK; EC=2.7.1.24 {ECO:0000269|PubMed:24360804}; AltName: Full=Dephosphocoenzyme A kinase; Short=DPCOAK;	True	73.74	73.74	73.74	69.92	29.86
Q13061	729	47.15	False	False	False	34.24	34.24	34.24	0.00	0.00
Q13064	507	62.27	CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27;	RecName: Full=Probable E3 ubiquitin-protein ligase makorin-3; EC=2.3.2.27; AltName: Full=RING finger protein 63; AltName: Full=RING-type E3 ubiquitin transferase makorin-3 {ECO:0000305}; AltName: Full=Zinc finger protein 127;	True	56.57	56.57	48.70	38.59	0.00
Q13066	116	65.56	False	False	False	24.39	24.39	24.39	0.00	0.00
Q13069	117	62.73	False	False	False	20.96	20.96	20.96	0.00	0.00
Q13070	117	62.58	False	False	False	22.36	22.36	0.00	0.00	0.00
Q13072	43	71.81	False	False	False	28.83	28.83	0.00	0.00	0.00
Q13111	956	57.42	False	False	False	75.26	75.26	44.09	0.00	0.00
Q13117	558	70.73	False	False	False	51.91	50.55	46.05	26.21	0.00
Q13129	1914	56.06	False	False	False	88.35	88.35	76.60	0.00	0.00
Q13145	260	64.67	False	False	False	49.20	49.20	30.48	0.00	0.00
Q13166	79	74.08	False	False	False	28.50	27.46	21.06	0.00	0.00
Q13203	477	84.86	False	False	False	72.27	72.27	72.27	34.84	25.37
Q13219	1627	78.97	CATALYTIC ACTIVITY: Reaction=Cleavage of the 135-Met-|-Lys-136 bond in insulin-like growth   factor binding protein (IGFBP)-4, and the 143-Ser-|-Lys-144 bond in   IGFBP-5.; EC=3.4.24.79;	RecName: Full=Pappalysin-1; EC=3.4.24.79; AltName: Full=Insulin-like growth factor-dependent IGF-binding protein 4 protease; Short=IGF-dependent IGFBP-4 protease; Short=IGFBP-4ase; AltName: Full=Pregnancy-associated plasma protein A; Short=PAPP-A; Flags: Precursor;	True	82.64	82.64	71.01	50.32	24.78
Q13278	110	42.34	False	False	False	43.71	0.00	0.00	0.00	0.00
Q13286	438	80.83	False	False	False	88.49	88.49	88.49	42.08	42.08
Q13287	307	81.80	False	False	False	71.57	71.57	71.57	28.37	0.00
Q13316	513	47.60	False	False	False	38.49	38.49	38.49	0.00	0.00
Q13323	160	62.65	False	False	False	32.44	32.44	32.44	0.00	0.00
Q13326	291	80.49	False	False	False	72.73	72.73	72.73	24.05	0.00
Q13361	173	64.88	False	False	False	57.35	57.35	33.00	0.00	0.00
Q13433	755	61.36	False	False	False	53.68	53.68	53.68	26.99	0.00
Q13434	485	64.11	CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27;	RecName: Full=Putative E3 ubiquitin-protein ligase makorin-4; EC=2.3.2.27; AltName: Full=Makorin RING finger protein pseudogene 4; AltName: Full=Makorin RING finger protein pseudogene 5; AltName: Full=RING finger protein 64; AltName: Full=RING-type E3 ubiquitin transferase makorin-4 {ECO:0000305}; AltName: Full=Zinc finger protein 127-Xp; Short=ZNF127-Xp; AltName: Full=Zinc finger protein 127-like 1;	True	64.68	64.68	52.63	32.72	0.00
Q13442	181	76.16	False	False	False	24.84	24.84	0.00	0.00	0.00
Q13491	265	82.24	False	False	False	59.11	59.11	59.11	57.57	25.25
Q13495	774	44.11	False	False	False	29.57	27.17	0.00	0.00	0.00
Q13522	171	67.13	False	False	False	44.31	44.31	44.31	0.00	0.00
Q13536	156	46.38	False	False	False	62.91	62.91	0.00	0.00	0.00
Q13571	262	68.92	False	False	False	50.95	50.95	43.98	0.00	0.00
Q13790	326	63.41	False	False	False	56.84	56.84	56.84	27.45	0.00
Q14031	1691	47.17	False	False	False	39.76	39.76	39.76	34.06	26.39
Q14093	348	50.61	False	False	False	25.35	25.35	0.00	0.00	0.00
Q14119	521	57.32	False	False	False	68.77	49.54	31.44	0.00	0.00
Q14146	1524	82.94	False	False	False	61.90	61.90	61.90	32.22	0.00
Q14153	422	52.30	False	False	False	39.19	39.19	0.00	0.00	0.00
Q14159	915	62.43	False	False	False	81.49	81.49	54.29	22.77	0.00
Q14236	149	38.21	False	False	False	65.34	0.00	0.00	0.00	0.00
Q14246	886	76.81	False	False	False	83.85	83.85	83.85	25.99	0.00
Q14254	428	81.59	False	False	False	38.71	38.71	38.71	24.28	0.00
Q14257	317	77.48	False	False	False	72.81	72.81	72.81	27.85	0.00
Q14264	604	65.92	False	False	False	76.96	56.72	44.87	0.00	0.00
Q14296	549	74.58	CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[Fas-activated protein] = ADP + H(+) + O-   phospho-L-seryl-[Fas-activated protein]; Xref=Rhea:RHEA:15881,   Rhea:RHEA-COMP:13713, Rhea:RHEA-COMP:13714, ChEBI:CHEBI:15378,   ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421,   ChEBI:CHEBI:456216; EC=2.7.11.8;	RecName: Full=Fas-activated serine/threonine kinase; Short=FAST kinase; EC=2.7.11.8;	True	88.42	88.42	46.30	29.70	0.00
Q14320	339	76.17	False	False	False	47.64	47.64	47.64	24.22	0.00
Q14442	188	87.05	False	False	False	39.10	39.10	39.10	39.10	0.00
Q14602	36	66.27	False	False	False	0.00	0.00	0.00	0.00	0.00
Q14641	139	48.79	False	False	False	39.72	0.00	0.00	0.00	0.00
Q14642	412	91.41	CATALYTIC ACTIVITY: Reaction=1D-myo-inositol 1,4,5-trisphosphate + H2O = 1D-myo-inositol   1,4-bisphosphate + phosphate; Xref=Rhea:RHEA:19797,   ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:58282,   ChEBI:CHEBI:203600; EC=3.1.3.56;   Evidence={ECO:0000269|PubMed:8013665, ECO:0000269|PubMed:8626616,   ECO:0000269|PubMed:8769125}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:19798;   Evidence={ECO:0000305|PubMed:8769125};	RecName: Full=Inositol polyphosphate-5-phosphatase A; EC=3.1.3.56 {ECO:0000269|PubMed:8013665, ECO:0000269|PubMed:8626616, ECO:0000269|PubMed:8769125}; AltName: Full=43 kDa inositol polyphosphate 5-phosphatase {ECO:0000303|PubMed:8006039}; AltName: Full=Type I inositol 1,4,5-trisphosphate 5-phosphatase {ECO:0000303|PubMed:8013665}; Short=5PTase {ECO:0000303|PubMed:8013665}; Flags: Precursor;	True	42.50	42.50	42.50	42.50	41.15
Q14656	261	92.05	False	False	False	51.66	51.66	51.66	51.66	51.66
Q14667	2235	70.71	False	False	False	122.49	122.49	122.49	40.60	26.80
Q14686	2063	37.17	False	False	False	72.93	72.93	72.93	0.00	0.00
Q14687	1217	53.96	False	False	False	34.99	34.99	34.99	0.00	0.00
Q14695	138	32.60	False	False	False	103.45	0.00	0.00	0.00	0.00
Q14699	578	64.71	False	False	False	57.07	57.07	57.07	29.87	22.35
Q14714	243	74.06	False	False	False	56.33	56.33	56.33	39.14	0.00
Q14761	206	57.87	False	False	False	32.60	32.60	0.00	0.00	0.00
Q14767	1821	58.18	False	False	False	79.01	79.01	59.53	0.00	0.00
Q14938	502	61.29	False	False	False	63.98	63.98	63.98	36.33	31.21
Q14956	572	77.35	False	False	False	55.70	55.70	55.70	33.66	33.66
Q14993	1142	54.35	False	False	False	39.48	39.48	37.80	35.78	0.00
Q14CZ0	275	69.11	False	False	False	32.69	32.69	32.69	23.19	0.00
Q14D04	833	72.39	False	False	False	60.66	60.66	59.84	31.57	0.00
Q14D33	572	48.92	False	False	False	72.58	49.53	30.85	0.00	0.00
Q14DG7	1078	69.93	False	False	False	81.35	81.35	81.35	34.86	0.00
Q15012	233	73.07	False	False	False	35.05	35.05	35.05	24.42	0.00
Q15035	370	85.51	False	False	False	73.63	73.63	73.63	73.63	50.65
Q15038	168	58.18	False	False	False	38.29	38.29	26.75	0.00	0.00
Q15041	203	84.83	False	False	False	39.23	39.23	39.23	0.00	0.00
Q15042	981	77.82	False	False	False	57.60	57.60	57.60	57.60	24.96
Q15049	377	70.96	False	False	False	58.41	58.41	48.04	25.24	0.00
Q15053	99	68.88	False	False	False	28.56	26.61	21.57	0.00	0.00
Q15155	1222	80.12	False	False	False	66.36	66.36	66.36	38.13	0.00
Q15198	375	83.52	False	False	False	51.73	51.73	51.73	51.73	35.25
Q15293	331	76.63	False	False	False	73.08	73.08	73.08	32.89	0.00
Q15361	905	56.74	False	False	False	94.11	94.11	83.64	29.74	0.00
Q15392	516	92.29	CATALYTIC ACTIVITY: Reaction=cholesterol + NADP(+) = cholesta-5,24-dien-3beta-ol + H(+) +   NADPH; Xref=Rhea:RHEA:36391, ChEBI:CHEBI:15378, ChEBI:CHEBI:16113,   ChEBI:CHEBI:17737, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.3.1.72;   Evidence={ECO:0000269|PubMed:11519011, ECO:0000269|PubMed:21671375,   ECO:0000269|PubMed:25637936}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:36393;   Evidence={ECO:0000305|PubMed:11519011, ECO:0000305|PubMed:21671375};	RecName: Full=Delta(24)-sterol reductase; EC=1.3.1.72 {ECO:0000269|PubMed:11519011, ECO:0000269|PubMed:21671375}; AltName: Full=24-dehydrocholesterol reductase; AltName: Full=3-beta-hydroxysterol Delta-24-reductase; AltName: Full=Diminuto/dwarf1 homolog; AltName: Full=Seladin-1 {ECO:0000303|PubMed:11007892}; Flags: Precursor;	True	91.82	91.82	91.82	91.82	44.26
Q15415	496	50.39	False	False	False	28.13	28.13	28.13	0.00	0.00
Q15517	529	38.59	False	False	False	94.41	20.17	0.00	0.00	0.00
Q15526	300	81.14	False	False	False	38.22	38.22	38.22	29.87	27.80
Q15527	256	70.51	False	False	False	33.24	33.24	33.24	33.24	0.00
Q15572	869	64.36	False	False	False	105.86	105.86	88.30	33.02	0.00
Q15573	450	85.60	False	False	False	38.49	38.49	38.49	38.49	35.03
Q15629	374	83.59	False	False	False	77.56	77.56	77.56	77.56	45.85
Q15651	99	64.92	False	False	False	21.73	21.73	21.73	0.00	0.00
Q15726	138	58.44	False	False	False	23.18	23.18	0.00	0.00	0.00
Q15773	248	64.75	False	False	False	45.82	45.82	43.40	0.00	0.00
Q15800	293	93.66	CATALYTIC ACTIVITY: Reaction=4,4-dimethyl-5alpha-cholest-7-en-3beta-ol + 6 [Fe(II)-   cytochrome b5] + 5 H(+) + 3 O2 = 4alpha-carboxy-4beta-methyl-5alpha-   cholest-7-ene-3beta-ol + 6 [Fe(III)-cytochrome b5] + 4 H2O;   Xref=Rhea:RHEA:55220, Rhea:RHEA-COMP:10438, Rhea:RHEA-COMP:10439,   ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379,   ChEBI:CHEBI:16455, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034,   ChEBI:CHEBI:58387; EC=1.14.18.9;   Evidence={ECO:0000250|UniProtKB:O35532}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:55221;   Evidence={ECO:0000250|UniProtKB:O35532};	RecName: Full=Methylsterol monooxygenase 1 {ECO:0000303|PubMed:23583456}; EC=1.14.18.9 {ECO:0000250|UniProtKB:O35532}; AltName: Full=C-4 methylsterol oxidase {ECO:0000303|PubMed:23583456}; AltName: Full=Sterol-C4-methyl oxidase {ECO:0000303|PubMed:21285510};	True	68.33	68.33	68.33	68.33	68.33
Q15884	450	60.36	False	False	False	54.72	54.72	28.49	0.00	0.00
Q15929	161	90.56	False	False	False	27.52	27.52	27.52	27.52	21.51
Q16143	134	60.56	False	False	False	21.29	21.29	0.00	0.00	0.00
Q16206	610	76.77	False	RecName: Full=Ecto-NOX disulfide-thiol exchanger 2; AltName: Full=APK1 antigen; AltName: Full=Cytosolic ovarian carcinoma antigen 1; AltName: Full=Tumor-associated hydroquinone oxidase; Short=tNOX; Includes: RecName: Full=Hydroquinone [NADH] oxidase; EC=1.-.-.-; Includes: RecName: Full=Protein disulfide-thiol oxidoreductase; EC=1.-.-.-;	True	67.16	67.16	67.16	30.50	30.50
Q16342	344	84.95	False	False	False	74.25	74.25	74.25	58.79	38.34
Q16378	134	64.86	False	False	False	26.86	26.86	0.00	0.00	0.00
Q16384	188	68.88	False	False	False	60.23	60.23	60.23	25.92	25.92
Q16385	188	68.44	False	False	False	34.33	34.33	32.49	32.49	0.00
Q16533	368	70.96	False	False	False	81.03	81.03	81.03	27.32	26.75
Q16553	131	77.22	False	False	False	45.95	45.95	45.95	24.15	0.00
Q16563	259	82.84	False	False	False	37.87	37.87	33.69	33.69	31.47
Q16585	318	77.47	False	False	False	116.09	116.09	116.09	23.75	0.00
Q16610	540	67.85	False	False	False	65.88	65.88	65.88	39.66	23.37
Q16612	68	65.41	False	False	False	25.53	25.53	24.08	0.00	0.00
Q16626	185	64.62	False	False	False	31.83	31.83	31.83	0.00	0.00
Q16635	292	87.54	CATALYTIC ACTIVITY: Reaction=1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol) + a 1-acyl-   sn-glycero-3-phosphate = 1-acyl-sn-glycero-3-phospho-(1'-sn-glycerol)   + a 1,2-diacyl-sn-glycero-3-phosphate; Xref=Rhea:RHEA:67748,   ChEBI:CHEBI:57970, ChEBI:CHEBI:58608, ChEBI:CHEBI:64716,   ChEBI:CHEBI:64840; Evidence={ECO:0000269|PubMed:19700766}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:67749;   Evidence={ECO:0000269|PubMed:19700766}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:67750;   Evidence={ECO:0000305|PubMed:19700766};	RecName: Full=Tafazzin {ECO:0000303|PubMed:19700766, ECO:0000303|PubMed:25598000, ECO:0000303|PubMed:29129703, ECO:0000303|PubMed:33096711}; Short=Taz; EC=2.3.1.- {ECO:0000269|PubMed:19700766}; AltName: Full=Protein G4.5 {ECO:0000303|PubMed:8630491};	True	85.36	85.36	85.36	34.78	34.78
Q16656	503	61.19	False	False	False	74.93	74.93	74.93	24.62	24.62
Q17R55	369	86.19	False	False	False	46.18	46.18	46.18	37.00	37.00
Q17R60	797	58.54	False	False	False	57.15	57.15	45.35	26.22	0.00
Q17RA5	79	70.21	False	False	False	27.43	27.43	22.08	0.00	0.00
Q17RF5	130	61.74	False	False	False	27.28	27.28	20.08	0.00	0.00
Q17RH7	258	46.29	False	False	False	24.88	20.06	0.00	0.00	0.00
Q17RM4	750	69.74	False	False	False	67.20	67.20	67.20	30.20	25.39
Q17RQ9	610	70.56	False	False	False	76.02	76.02	76.02	44.11	0.00
Q17RW2	1714	49.26	False	False	False	85.61	85.61	85.61	40.43	0.00
Q17RY6	165	73.11	False	False	False	75.78	75.78	75.78	0.00	0.00
Q19AV6	140	92.07	False	False	False	45.74	45.74	45.74	29.39	24.98
Q19T08	205	56.54	False	False	False	33.57	33.57	30.23	0.00	0.00
Q1A5X6	159	47.91	False	False	False	93.87	36.91	0.00	0.00	0.00
Q1AE95	376	73.10	False	False	False	42.96	42.96	42.96	42.96	22.22
Q1ED39	458	54.29	False	False	False	49.95	49.95	30.34	0.00	0.00
Q1RMZ1	405	79.07	False	RecName: Full=S-adenosylmethionine sensor upstream of mTORC1 {ECO:0000255|HAMAP-Rule:MF_03044, ECO:0000303|PubMed:29123071}; AltName: Full=Probable methyltransferase BMT2 homolog {ECO:0000255|HAMAP-Rule:MF_03044}; EC=2.1.1.- {ECO:0000255|HAMAP-Rule:MF_03044};	True	65.82	65.82	65.82	39.22	39.22
Q1RN00	199	56.93	False	False	False	33.35	33.35	25.12	0.00	0.00
Q1T7F1	81	55.01	False	False	False	39.46	31.71	0.00	0.00	0.00
Q1W209	222	41.90	False	False	False	47.34	40.51	0.00	0.00	0.00
Q1W6H9	321	60.53	False	False	False	30.34	30.34	28.14	0.00	0.00
Q1ZYL8	232	81.64	False	False	False	50.23	50.23	50.23	33.60	25.25
Q24JP5	1023	72.93	False	False	False	76.78	76.78	62.39	32.27	0.00
Q2KHR3	1735	43.67	False	False	False	60.36	60.36	45.48	37.22	0.00
Q2KHT3	1053	70.75	False	False	False	100.81	100.81	100.81	36.55	0.00
